cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1490000,4.384,3.984,3.968,4.032,0.000,0.000
1492000,3.888,4.160,4.016,4.128,0.000,0.000
1494000,3.904,3.968,4.096,4.160,0.000,0.000
1496000,4.224,4.368,4.032,3.840,0.000,0.000
1498000,4.128,3.680,3.984,4.048,0.000,0.000
1500000,4.032,3.920,4.128,4.272,0.000,0.000
1502000,3.872,4.384,3.952,4.000,0.000,0.000
1504000,4.016,4.032,4.224,3.872,0.000,0.000
1506000,4.272,3.952,4.144,4.256,0.000,0.000
1508000,4.224,4.208,3.856,3.760,0.000,0.000
1510000,3.824,3.936,4.112,4.288,0.000,0.000
1512000,4.000,4.112,3.968,4.000,0.000,0.000
1514000,3.968,4.048,4.064,4.144,0.000,0.000
1516000,4.352,4.048,4.256,3.856,0.000,0.000
1518000,4.048,3.872,3.840,4.176,0.000,0.000
1520000,3.760,4.048,4.288,4.144,0.000,0.000
1522000,4.320,4.224,3.744,3.808,0.000,0.000
1524000,3.904,4.112,4.368,4.064,0.000,0.000
1526000,4.240,4.160,4.080,4.208,0.000,0.000
1528000,4.000,3.808,3.920,4.256,0.000,0.000
1530000,3.696,4.128,4.080,3.904,0.000,0.000
1532000,4.144,4.112,4.048,4.000,0.000,0.000
1534000,4.336,4.128,4.048,3.968,0.000,0.000
1536000,4.016,3.904,4.032,4.240,0.000,0.000
1538000,4.048,3.968,3.968,4.128,0.000,0.000
1540000,3.728,4.048,4.144,3.872,0.000,0.000
1542000,4.288,4.368,4.016,4.208,0.000,0.000
1544000,4.352,3.776,4.128,4.080,0.000,0.000
1546000,3.904,4.160,4.208,3.936,0.000,0.000
1548000,3.872,4.128,3.920,3.936,0.000,0.000
1550000,4.176,4.016,3.984,4.224,0.000,0.000
1552000,4.096,4.064,4.208,4.160,0.000,0.000
1554000,4.000,3.984,4.128,4.032,0.000,0.000
1556000,3.888,3.952,3.792,3.760,0.000,0.000
1558000,4.192,4.384,4.096,4.320,0.000,0.000
1560000,4.336,3.904,4.256,4.096,0.000,0.000
1562000,3.952,4.048,4.016,3.904,0.000,0.000
1564000,4.016,4.080,3.824,3.968,0.000,0.000
1566000,3.888,4.096,4.096,4.304,0.000,0.000
1568000,4.176,3.888,4.272,4.000,0.000,0.000
1570000,4.160,4.176,4.080,3.872,0.000,0.000
1572000,3.872,4.192,3.904,4.272,0.000,0.000
1574000,4.128,3.936,4.016,3.840,0.000,0.000
1576000,4.064,4.176,4.064,4.320,0.000,0.000
1578000,4.096,4.016,3.984,3.920,0.000,0.000
1580000,4.016,4.080,4.208,3.984,0.000,0.000
1582000,3.936,3.968,4.176,4.016,0.000,0.000
1584000,4.096,4.192,3.936,4.176,0.000,0.000
1586000,4.288,3.936,4.112,4.000,0.000,0.000
1588000,3.808,3.952,4.048,4.144,0.000,0.000
1590000,4.096,4.128,4.128,3.888,0.000,0.000
1592000,4.112,4.240,3.840,4.176,0.000,0.000
1594000,4.080,4.064,4.016,4.096,0.000,0.000
1596000,3.984,4.064,4.160,4.048,0.000,0.000
1598000,4.080,3.888,4.080,3.712,0.000,0.000
1600000,4.000,3.920,4.144,4.304,0.000,0.000
1602000,4.000,4.208,3.856,4.224,0.000,0.000
1604000,4.272,3.840,4.176,3.968,0.000,0.000
1606000,3.984,4.416,4.176,3.888,0.000,0.000
1608000,4.016,3.888,4.144,4.128,0.000,0.000
1610000,4.080,4.000,3.728,4.208,0.000,0.000
1612000,4.096,4.224,4.272,4.176,0.000,0.000
1614000,4.176,4.096,4.032,3.968,0.000,0.000
1616000,3.840,3.808,3.936,3.952,0.000,0.000
1618000,4.064,4.208,4.128,4.032,0.000,0.000
1620000,4.064,4.032,4.176,4.192,0.000,0.000
1622000,4.368,4.208,3.856,4.016,0.000,0.000
1624000,3.904,4.000,4.304,3.888,0.000,0.000
1626000,3.968,3.760,3.952,4.048,0.000,0.000
1628000,4.016,3.936,3.936,4.336,0.000,0.000
1630000,4.128,4.560,4.000,3.856,0.000,0.000
1632000,4.096,3.984,4.256,4.112,0.000,0.000
1634000,4.016,3.888,3.952,4.000,0.000,0.000
1636000,4.064,3.952,4.048,3.968,0.000,0.000
1638000,3.872,4.208,3.968,4.192,0.000,0.000
1640000,4.208,4.224,4.224,4.112,0.000,0.000
1642000,4.064,3.872,3.920,3.856,0.000,0.000
1644000,3.968,4.032,4.320,4.208,0.000,0.000
1646000,4.192,4.160,3.952,4.016,0.000,0.000
1648000,4.256,4.320,3.872,4.016,0.000,0.000
1650000,3.856,3.760,4.160,4.240,0.000,0.000
1652000,3.968,3.872,4.112,3.808,0.000,0.000
1654000,4.176,4.096,3.952,4.144,0.000,0.000
1656000,3.888,4.384,4.128,4.176,0.000,0.000
1658000,4.240,3.968,3.984,4.048,0.000,0.000
1660000,3.792,3.936,3.936,4.032,0.000,0.000
1662000,4.272,3.792,4.192,3.952,0.000,0.000
1664000,4.096,4.480,3.936,4.144,0.000,0.000
1666000,4.112,3.888,4.128,4.128,0.000,0.000
1668000,3.872,4.064,4.128,3.840,0.000,0.000
1670000,4.048,3.824,3.936,4.160,0.000,0.000
1672000,4.208,4.320,4.272,4.192,0.000,0.000
1674000,4.064,3.904,4.048,3.888,0.000,0.000
1676000,4.016,4.320,3.920,3.888,0.000,0.000
1678000,3.984,3.872,4.048,4.464,0.000,0.000
1680000,4.016,3.808,4.192,4.032,0.000,0.000
1682000,4.208,4.256,4.112,3.936,0.000,0.000
