Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
28200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.819074
28300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.226008
28400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.985904
28500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.537612
28600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.993171
28700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.361063
28800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.682944
28900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.909087
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.153940
29100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.853720
29200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.653596
29300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.403983
29400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.533575
29500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.237221
29600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.177965
29700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.811044
29800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.484086
29900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.799145
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.916113
30100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.276838
30200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.846430
30300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.153747
30400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.952443
30500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.351607
30600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.517707
30700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.776633
