Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1019700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.776131
1019800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.312163
1019900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.003984
1020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.932317
1020100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.291187
1020200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.173190
1020300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.294809
1020400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.894339
1020500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.092743
1020600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.092958
1020700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.456933
1020800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.808476
1020900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.121867
1021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.876696
1021100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.860327
1021200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.172602
1021300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.503219
1021400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.759132
1021500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.432395
1021600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.949080
1021700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.508908
1021800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.184588
1021900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.283222
1022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.637185
1022100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.428152
1022200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.673430
1022300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.337015
1022400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.026757
1022500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.684869
1022600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.047380
1022700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.164459
1022800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.845408
1022900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.854747
1023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.561675
1023100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.849969
1023200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.356345
1023300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.041643
