cycle,pc,cta_id,cluster_id,warp_id,tid
22368,140,2,2,11,ffffffff
22368,140,2,2,15,ffffffff
22369,140,2,2,2,ffffffff
22381,158,2,2,1,ffffffff
22422,150,2,2,4,ffffffff
22423,148,2,2,7,ffffffff
22454,150,2,2,9,ffffffff
22454,150,2,2,7,ffffffff
22498,140,2,2,0,ffffffff
22499,160,2,2,1,ffffffff
22529,148,2,2,12,ffffffff
22544,158,2,2,4,ffffffff
22545,158,2,2,9,ffffffff
22546,158,2,2,7,ffffffff
22552,150,2,2,12,ffffffff
22567,160,2,2,4,ffffffff
22568,160,2,2,9,ffffffff
22569,160,2,2,7,ffffffff
22630,138,2,2,0,ffffffff
22639,148,2,2,3,ffffffff
22649,150,2,2,3,ffffffff
22731,148,2,2,14,ffffffff
22741,150,2,2,14,ffffffff
22937,148,2,2,10,ffffffff
23113,148,2,2,11,ffffffff
23564,148,2,2,2,ffffffff
23713,158,2,2,12,ffffffff
23797,158,2,2,3,ffffffff
23874,158,2,2,14,ffffffff
23882,150,2,2,10,ffffffff
23882,150,2,2,11,ffffffff
23884,150,2,2,2,ffffffff
23972,158,2,2,10,ffffffff
23977,158,2,2,11,ffffffff
24091,158,2,2,2,ffffffff
24341,148,2,2,15,ffffffff
24351,150,2,2,15,ffffffff
24408,168,2,2,6,ffffffff
24418,170,2,2,6,ffffffff
24476,148,2,2,8,ffffffff
24486,150,2,2,8,ffffffff
24512,148,2,2,13,ffffffff
24522,150,2,2,13,ffffffff
24536,148,2,2,0,ffffffff
24546,150,2,2,0,ffffffff
24588,158,2,2,15,ffffffff
24629,168,2,2,1,ffffffff
24794,178,2,2,6,ffffffff
24840,168,2,2,4,ffffffff
24932,158,2,2,8,ffffffff
24933,158,2,2,13,ffffffff
24934,158,2,2,0,ffffffff
24941,170,2,2,1,ffffffff
24942,170,2,2,4,ffffffff
25145,168,2,2,7,ffffffff
25155,170,2,2,7,ffffffff
25449,168,2,2,9,ffffffff
25459,170,2,2,9,ffffffff
25552,148,2,2,5,ffffffff
25562,150,2,2,5,ffffffff
25822,160,2,2,13,ffffffff
25824,160,2,2,12,ffffffff
25825,160,2,2,3,ffffffff
25826,160,2,2,14,ffffffff
25827,160,2,2,11,ffffffff
25828,160,2,2,2,ffffffff
25829,160,2,2,10,ffffffff
25830,160,2,2,15,ffffffff
25831,180,2,2,6,ffffffff
25855,160,2,2,0,ffffffff
25868,178,2,2,1,ffffffff
25869,178,2,2,4,ffffffff
25871,178,2,2,7,ffffffff
25881,168,2,2,12,ffffffff
25890,180,2,2,1,ffffffff
25891,170,2,2,12,ffffffff
25892,180,2,2,7,ffffffff
25893,180,2,2,4,ffffffff
26037,168,2,2,3,ffffffff
26047,170,2,2,3,ffffffff
26115,158,2,2,5,ffffffff
26127,178,2,2,12,ffffffff
26141,178,2,2,3,ffffffff
26209,168,2,2,14,ffffffff
26219,170,2,2,14,ffffffff
26327,168,2,2,11,ffffffff
26337,170,2,2,11,ffffffff
26665,168,2,2,10,ffffffff
26900,168,2,2,2,ffffffff
27038,178,2,2,9,ffffffff
27047,170,2,2,10,ffffffff
27048,178,2,2,14,ffffffff
27049,170,2,2,2,ffffffff
27073,168,2,2,15,ffffffff
27142,178,2,2,11,ffffffff
27149,170,2,2,15,ffffffff
27176,188,2,2,6,ffffffff
27251,178,2,2,10,ffffffff
27254,178,2,2,2,ffffffff
27256,190,2,2,6,ffffffff
27367,178,2,2,15,ffffffff
27508,168,2,2,13,ffffffff
27518,170,2,2,13,ffffffff
27914,168,2,2,8,ffffffff
27983,168,2,2,0,ffffffff
27993,170,2,2,0,ffffffff
28053,188,2,2,7,ffffffff
28063,190,2,2,7,ffffffff
28152,188,2,2,4,ffffffff
28162,190,2,2,4,ffffffff
28218,180,2,2,2,ffffffff
28220,160,2,2,8,ffffffff
28221,180,2,2,9,ffffffff
28222,160,2,2,5,ffffffff
28223,180,2,2,12,ffffffff
28224,180,2,2,3,ffffffff
28225,180,2,2,14,ffffffff
28226,180,2,2,11,ffffffff
28227,180,2,2,15,ffffffff
28230,170,2,2,8,ffffffff
28233,188,2,2,1,ffffffff
28243,190,2,2,1,ffffffff
28263,198,2,2,6,ffffffff
28265,178,2,2,13,ffffffff
28266,178,2,2,0,ffffffff
28267,198,2,2,7,ffffffff
28288,180,2,2,13,ffffffff
28304,198,2,2,1,ffffffff
28321,180,2,2,10,ffffffff
28323,180,2,2,0,ffffffff
28342,178,2,2,8,ffffffff
28565,188,2,2,12,ffffffff
28755,198,2,2,4,ffffffff
28758,190,2,2,12,ffffffff
28818,188,2,2,9,ffffffff
28822,180,2,2,8,ffffffff
28828,190,2,2,9,ffffffff
29357,188,2,2,3,ffffffff
29367,190,2,2,3,ffffffff
29379,198,2,2,12,ffffffff
29520,198,2,2,9,ffffffff
29555,168,2,2,5,ffffffff
29565,170,2,2,5,ffffffff
29610,198,2,2,3,ffffffff
29633,188,2,2,14,ffffffff
29643,190,2,2,14,ffffffff
29712,178,2,2,5,ffffffff
29722,188,2,2,11,ffffffff
29732,190,2,2,11,ffffffff
29733,180,2,2,5,ffffffff
29790,198,2,2,14,ffffffff
29874,188,2,2,10,ffffffff
29884,190,2,2,10,ffffffff
30061,198,2,2,11,ffffffff
30420,188,2,2,15,ffffffff
30430,190,2,2,15,ffffffff
30482,188,2,2,2,ffffffff
30560,1a0,2,2,11,ffffffff
30562,1a0,2,2,6,ffffffff
30563,1a0,2,2,7,ffffffff
30564,1a0,2,2,1,ffffffff
